,n_estimaters,depth,accuracy,f1,dimensions
0,100,2,0.416,0.29702901446105234,10
0,150,2,0.39666666666666667,0.26521103373501237,10
0,200,2,0.416,0.29702901446105234,10
0,250,2,0.416,0.29702901446105234,10
0,100,4,0.3953333333333333,0.24126798467748156,10
0,150,4,0.3953333333333333,0.24126798467748156,10
0,200,4,0.3953333333333333,0.24126798467748156,10
0,250,4,0.3953333333333333,0.24126798467748156,10
0,100,6,0.42733333333333334,0.3022809975381421,10
0,150,6,0.416,0.29970542295667896,10
0,200,6,0.3953333333333333,0.24126798467748156,10
0,250,6,0.3953333333333333,0.24126798467748156,10
0,100,8,0.3953333333333333,0.23977163121936776,10
0,150,8,0.3953333333333333,0.24126798467748156,10
0,200,8,0.3953333333333333,0.24126798467748156,10
0,250,8,0.3953333333333333,0.24126798467748156,10
0,100,10,0.3953333333333333,0.24126798467748156,10
0,150,10,0.3953333333333333,0.24126798467748156,10
0,200,10,0.3953333333333333,0.24126798467748156,10
0,250,10,0.3953333333333333,0.24126798467748156,10
0,100,12,0.3953333333333333,0.24126798467748156,10
0,150,12,0.3953333333333333,0.24126798467748156,10
0,200,12,0.3953333333333333,0.24126798467748156,10
0,250,12,0.3953333333333333,0.24126798467748156,10
0,100,14,0.3953333333333333,0.24126798467748156,10
0,150,14,0.3953333333333333,0.24126798467748156,10
0,200,14,0.3953333333333333,0.24126798467748156,10
0,250,14,0.3953333333333333,0.24126798467748156,10
0,100,16,0.3953333333333333,0.24126798467748156,10
0,150,16,0.3953333333333333,0.24126798467748156,10
0,200,16,0.3953333333333333,0.24126798467748156,10
0,250,16,0.3953333333333333,0.24126798467748156,10
0,100,18,0.3953333333333333,0.24126798467748156,10
0,150,18,0.3953333333333333,0.24126798467748156,10
0,200,18,0.3953333333333333,0.24126798467748156,10
0,250,18,0.3953333333333333,0.24126798467748156,10
0,100,20,0.3953333333333333,0.24126798467748156,10
0,150,20,0.3953333333333333,0.24126798467748156,10
0,200,20,0.3953333333333333,0.24126798467748156,10
0,250,20,0.3953333333333333,0.24126798467748156,10
0,100,22,0.3953333333333333,0.24126798467748156,10
0,150,22,0.3953333333333333,0.24126798467748156,10
0,200,22,0.3953333333333333,0.24126798467748156,10
0,250,22,0.3953333333333333,0.24126798467748156,10
0,100,24,0.3953333333333333,0.24126798467748156,10
0,150,24,0.3953333333333333,0.24126798467748156,10
0,200,24,0.3953333333333333,0.24126798467748156,10
0,250,24,0.3953333333333333,0.24126798467748156,10
0,100,26,0.3953333333333333,0.24126798467748156,10
0,150,26,0.3953333333333333,0.24126798467748156,10
0,200,26,0.3953333333333333,0.24126798467748156,10
0,250,26,0.3953333333333333,0.24126798467748156,10
0,100,28,0.3953333333333333,0.24126798467748156,10
0,150,28,0.3953333333333333,0.24126798467748156,10
0,200,28,0.3953333333333333,0.24126798467748156,10
0,250,28,0.3953333333333333,0.24126798467748156,10
0,100,2,0.366,0.28589220032510615,100
0,150,2,0.368,0.2894356352642067,100
0,200,2,0.3546666666666667,0.26543259236347644,100
0,250,2,0.336,0.23226593424676492,100
0,100,4,0.3293333333333333,0.22143287795136266,100
0,150,4,0.31,0.1863300850493412,100
0,200,4,0.31,0.1863300850493412,100
0,250,4,0.31,0.1863300850493412,100
0,100,6,0.29533333333333334,0.1566765813174699,100
0,150,6,0.33066666666666666,0.22170909442230602,100
0,200,6,0.29533333333333334,0.1566765813174699,100
0,250,6,0.31,0.1863300850493412,100
0,100,8,0.31,0.1863300850493412,100
0,150,8,0.29533333333333334,0.1566765813174699,100
0,200,8,0.29533333333333334,0.1566765813174699,100
0,250,8,0.31,0.1863300850493412,100
0,100,10,0.31,0.1863300850493412,100
0,150,10,0.31,0.1863300850493412,100
0,200,10,0.31,0.1863300850493412,100
0,250,10,0.31,0.1863300850493412,100
0,100,12,0.31,0.1863300850493412,100
0,150,12,0.31,0.1863300850493412,100
0,200,12,0.31,0.1863300850493412,100
0,250,12,0.31,0.1863300850493412,100
0,100,14,0.31,0.1863300850493412,100
0,150,14,0.31,0.1863300850493412,100
0,200,14,0.31,0.1863300850493412,100
0,250,14,0.31,0.1863300850493412,100
0,100,16,0.31,0.1863300850493412,100
0,150,16,0.31,0.1863300850493412,100
0,200,16,0.31,0.1863300850493412,100
0,250,16,0.31,0.1863300850493412,100
0,100,18,0.31,0.1863300850493412,100
0,150,18,0.31,0.1863300850493412,100
0,200,18,0.31,0.1863300850493412,100
0,250,18,0.31,0.1863300850493412,100
0,100,20,0.31,0.1863300850493412,100
0,150,20,0.31,0.1863300850493412,100
0,200,20,0.31,0.1863300850493412,100
0,250,20,0.31,0.1863300850493412,100
0,100,22,0.31,0.1863300850493412,100
0,150,22,0.31,0.1863300850493412,100
0,200,22,0.31,0.1863300850493412,100
0,250,22,0.31,0.1863300850493412,100
0,100,24,0.31,0.1863300850493412,100
0,150,24,0.31,0.1863300850493412,100
0,200,24,0.31,0.1863300850493412,100
0,250,24,0.31,0.1863300850493412,100
0,100,26,0.31,0.1863300850493412,100
0,150,26,0.31,0.1863300850493412,100
0,200,26,0.31,0.1863300850493412,100
0,250,26,0.31,0.1863300850493412,100
0,100,28,0.31,0.1863300850493412,100
0,150,28,0.31,0.1863300850493412,100
0,200,28,0.31,0.1863300850493412,100
0,250,28,0.31,0.1863300850493412,100
0,100,2,0.404,0.34598348112261906,150
0,150,2,0.3466666666666667,0.24920415004199242,150
0,200,2,0.3466666666666667,0.24920415004199242,150
0,250,2,0.386,0.31680794692754854,150
0,100,4,0.31,0.1863300850493412,150
0,150,4,0.3273333333333333,0.21856504574590233,150
0,200,4,0.3273333333333333,0.21856504574590233,150
0,250,4,0.3273333333333333,0.21856504574590233,150
0,100,6,0.31,0.1863300850493412,150
0,150,6,0.31,0.1863300850493412,150
0,200,6,0.31,0.1863300850493412,150
0,250,6,0.31,0.1863300850493412,150
0,100,8,0.31,0.1863300850493412,150
0,150,8,0.31,0.1863300850493412,150
0,200,8,0.31,0.1863300850493412,150
0,250,8,0.31,0.1863300850493412,150
0,100,10,0.3273333333333333,0.21856504574590233,150
