n_estimaters,depth,accuracy,f1,num_topics
150,18,0.630666667,0.617394814,15
200,18,0.630666667,0.617394814,15
250,18,0.630666667,0.617394814,15
100,20,0.630666667,0.617394814,15
150,20,0.630666667,0.617394814,15
200,20,0.630666667,0.617394814,15
250,20,0.630666667,0.617394814,15
100,22,0.630666667,0.617394814,15
150,22,0.630666667,0.617394814,15
200,22,0.630666667,0.617394814,15
250,22,0.630666667,0.617394814,15
100,24,0.630666667,0.617394814,15
150,24,0.630666667,0.617394814,15
200,24,0.630666667,0.617394814,15
250,24,0.630666667,0.617394814,15
100,26,0.630666667,0.617394814,15
150,26,0.630666667,0.617394814,15
200,26,0.630666667,0.617394814,15
250,26,0.630666667,0.617394814,15
100,28,0.630666667,0.617394814,15
150,28,0.630666667,0.617394814,15
200,28,0.630666667,0.617394814,15
250,28,0.630666667,0.617394814,15
100,6,0.630666667,0.626694636,21
150,6,0.630666667,0.62748187,21
100,18,0.63,0.611429512,29
100,16,0.629333333,0.609852495,29
200,12,0.628666667,0.612553003,14
200,14,0.628666667,0.616507802,27
100,8,0.628666667,0.608911309,29
200,10,0.628666667,0.611094913,29
250,10,0.628666667,0.611094913,29
200,12,0.628666667,0.610191227,29
250,12,0.628666667,0.610191227,29
250,14,0.628666667,0.609746632,29
200,6,0.628,0.624741105,21
250,6,0.628,0.624741105,21
150,18,0.626,0.608042532,22
150,20,0.626,0.608042532,22
150,22,0.626,0.608042532,22
150,24,0.626,0.608042532,22
150,26,0.626,0.608042532,22
150,28,0.626,0.608042532,22
100,12,0.626,0.581393437,23
200,12,0.626,0.568015731,23
100,14,0.626,0.579955288,23
250,14,0.626,0.580940993,23
100,4,0.626,0.584178079,24
150,4,0.626,0.584043684,24
200,4,0.626,0.584394138,24
250,4,0.626,0.584050885,24
250,6,0.626,0.615315797,27
200,8,0.626,0.623271337,27
200,6,0.626,0.595965113,29
100,12,0.625333333,0.613210545,15
150,12,0.625333333,0.613210545,15
100,16,0.625333333,0.608242882,22
100,18,0.625333333,0.608242882,22
100,20,0.625333333,0.608242882,22
100,22,0.625333333,0.608242882,22
100,24,0.625333333,0.608242882,22
100,26,0.625333333,0.608242882,22
100,28,0.625333333,0.608242882,22
100,16,0.625333333,0.582003271,23
150,16,0.625333333,0.582003271,23
150,18,0.625333333,0.582003271,23
100,20,0.625333333,0.582003271,23
150,20,0.625333333,0.582003271,23
100,22,0.625333333,0.582003271,23
150,22,0.625333333,0.582003271,23
100,24,0.625333333,0.582003271,23
150,24,0.625333333,0.582003271,23
100,26,0.625333333,0.582003271,23
150,26,0.625333333,0.582003271,23
100,28,0.625333333,0.582003271,23
150,28,0.625333333,0.582003271,23
250,8,0.625333333,0.596188049,29
100,12,0.624666667,0.616936074,24
200,12,0.624666667,0.614450996,27
150,14,0.624,0.606156631,22
100,4,0.624,0.594679666,27
100,14,0.622666667,0.614341309,28
200,18,0.622666667,0.606986885,28
200,20,0.622666667,0.606986885,28
200,22,0.622666667,0.606986885,28
200,24,0.622666667,0.606986885,28
200,26,0.622666667,0.606986885,28
200,28,0.622666667,0.606986885,28
200,6,0.621333333,0.597832426,14
150,18,0.621333333,0.609136451,14
150,20,0.621333333,0.609136451,14
150,22,0.621333333,0.609136451,14
150,24,0.621333333,0.609136451,14
150,26,0.621333333,0.609136451,14
150,28,0.621333333,0.609136451,14
150,14,0.621333333,0.577475099,23
100,14,0.620666667,0.608372598,14
200,14,0.620666667,0.605701552,14
100,16,0.620666667,0.607383623,14
200,16,0.620666667,0.605701552,14
100,18,0.620666667,0.607383623,14
200,18,0.620666667,0.605701552,14
100,20,0.620666667,0.607383623,14
200,20,0.620666667,0.605701552,14
100,22,0.620666667,0.607383623,14
200,22,0.620666667,0.605701552,14
100,24,0.620666667,0.607383623,14
200,24,0.620666667,0.605701552,14
100,26,0.620666667,0.607383623,14
200,26,0.620666667,0.605701552,14
100,28,0.620666667,0.607383623,14
200,28,0.620666667,0.605701552,14
200,20,0.620666667,0.564459581,23
200,22,0.620666667,0.564459581,23
200,24,0.620666667,0.564459581,23
200,26,0.620666667,0.564459581,23
200,28,0.620666667,0.564459581,23
100,14,0.620666667,0.612790765,24
150,10,0.620666667,0.618976362,27
200,10,0.620666667,0.617997039,27
250,12,0.620666667,0.612733468,28
150,8,0.62,0.618740127,21
200,4,0.62,0.579740681,26
250,6,0.62,0.59355366,28
200,10,0.619333333,0.60746262,20
200,4,0.619333333,0.578401276,29
150,14,0.618666667,0.607047488,20
200,14,0.618666667,0.607047488,20
150,16,0.618666667,0.607297089,20
200,16,0.618666667,0.607047488,20
150,18,0.618666667,0.607297089,20
200,18,0.618666667,0.607385277,20
150,20,0.618666667,0.607297089,20
200,20,0.618666667,0.607385277,20
150,22,0.618666667,0.607297089,20
200,22,0.618666667,0.607385277,20
150,24,0.618666667,0.607297089,20
200,24,0.618666667,0.607385277,20
150,26,0.618666667,0.607297089,20
200,26,0.618666667,0.607385277,20
150,28,0.618666667,0.607297089,20
200,28,0.618666667,0.607385277,20
200,6,0.618666667,0.601966337,26
150,14,0.618666667,0.603112891,28
200,8,0.618666667,0.590247228,29
100,16,0.618,0.60667066,20
150,4,0.618,0.578000331,22
150,12,0.618,0.601236028,22
200,16,0.618,0.60047916,22
250,12,0.618,0.566769638,23
100,12,0.618,0.610156751,28
200,4,0.617333333,0.590557274,21
100,4,0.617333333,0.577397676,26
250,4,0.617333333,0.57757879,26
200,8,0.616666667,0.605448797,15
200,12,0.616666667,0.605448797,15
100,6,0.616666667,0.560472484,23
150,6,0.616666667,0.560472484,23
200,6,0.616666667,0.558870081,23
250,6,0.616666667,0.559425233,23
100,8,0.616666667,0.559524369,23
150,8,0.616666667,0.560424314,23
200,8,0.616666667,0.559393441,23
250,8,0.616666667,0.560329875,23
250,10,0.616666667,0.560424314,23
200,14,0.616666667,0.572704324,23
250,16,0.616666667,0.603181382,28
100,12,0.616,0.606790156,14
150,12,0.616,0.559733138,23
250,20,0.615333333,0.598164115,29
250,22,0.615333333,0.598164115,29
250,24,0.615333333,0.598164115,29
250,26,0.615333333,0.598164115,29
250,28,0.615333333,0.598164115,29
100,4,0.614666667,0.596324341,15
150,4,0.614666667,0.596324341,15
200,8,0.614666667,0.605508274,26
200,4,0.614,0.595328176,15
250,4,0.614,0.595328176,15
150,16,0.614,0.597395484,22
100,4,0.613333333,0.575767145,17
150,10,0.612666667,0.55783449,23
200,10,0.612666667,0.557539289,23
250,4,0.612666667,0.584936554,27
200,14,0.612,0.590069147,28
150,4,0.611333333,0.585316113,21
250,6,0.611333333,0.571844373,29
200,16,0.610666667,0.567488383,23
250,16,0.610666667,0.568666523,23
250,18,0.610666667,0.568666523,23
250,20,0.610666667,0.568666523,23
250,22,0.610666667,0.568666523,23
250,24,0.610666667,0.568666523,23
250,26,0.610666667,0.568666523,23
250,28,0.610666667,0.568666523,23
200,6,0.61,0.601215472,27
150,4,0.609333333,0.568184124,14
200,2,0.609333333,0.58992093,15
100,8,0.609333333,0.608144111,21
150,12,0.608666667,0.597658684,20
150,10,0.608666667,0.593334454,22
